Frequency (MHz),Peak (dBuV),Average (dBuV)
0.15107,27.42,19.98
0.15179,27.29,19.71
0.15251,27.29,19.31
0.15324,27.16,18.91
0.15396,26.49,18.25
0.15470,25.69,17.45
0.15543,25.03,16.79
0.15617,24.23,15.99
0.15691,24.10,15.06
0.15766,23.97,14.13
0.15841,23.83,13.20
0.15916,24.10,12.93
0.15992,24.36,13.86
0.16068,24.76,14.66
0.16144,25.16,15.59
0.16221,25.16,15.86
0.16298,24.90,16.26
0.16376,24.50,16.52
0.16454,24.23,16.92
0.16532,23.83,16.92
0.16611,23.83,16.12
0.16689,23.83,15.19
0.16769,23.83,14.39
0.16849,23.83,13.86
0.16929,23.83,13.46
0.17009,23.83,13.06
0.17090,23.70,13.20
0.17171,23.70,13.73
0.17253,23.57,14.26
0.17335,23.57,14.93
0.17417,23.43,15.06
0.17500,23.43,15.19
0.17583,23.43,15.32
0.17667,23.43,15.32
0.17751,23.43,14.53
0.17835,23.57,13.60
0.17920,23.70,12.80
0.18005,23.70,12.00
0.18091,23.04,11.74
0.18177,22.37,11.47
0.18264,22.64,12.00
0.18350,23.70,12.67
0.18438,24.90,13.33
0.18525,25.43,14.13
0.18613,26.09,14.93
0.18702,26.76,15.72
0.18791,27.42,16.52
0.18880,27.42,16.52
0.18970,26.89,16.39
0.19060,26.23,16.12
0.19151,25.56,15.99
0.19242,25.30,15.59
0.19333,24.90,15.19
0.19425,24.63,14.79
0.19518,24.63,14.39
0.19610,24.63,14.00
0.19704,25.03,13.60
0.19797,25.69,13.46
0.19891,26.23,13.20
0.19986,26.89,13.06
0.20081,26.89,12.93
0.20177,25.83,12.13
0.20272,24.76,11.34
0.20369,24.10,10.54
0.20466,24.50,10.27
0.20563,25.03,10.01
0.20661,25.03,10.54
0.20759,24.76,11.34
0.20858,24.63,12.13
0.20957,24.50,12.13
0.21057,24.63,12.00
0.21157,24.76,12.00
0.21257,25.30,12.00
0.21358,25.96,12.00
0.21460,25.96,12.00
0.21562,25.56,11.47
0.21664,25.16,10.94
0.21767,24.76,10.27
0.21871,24.63,9.34
0.21975,24.50,8.41
0.22079,24.36,8.15
0.22184,23.83,8.94
0.22290,23.30,9.74
0.22396,22.64,9.74
0.22502,22.50,9.34
0.22609,22.50,8.81
0.22717,22.50,8.41
0.22825,22.50,8.15
0.22933,22.50,8.68
0.23042,22.50,9.48
0.23152,22.50,10.27
0.23262,22.64,10.54
0.23373,22.64,10.94
0.23484,22.64,11.34
0.23595,22.77,11.34
0.23708,22.77,10.81
0.23820,22.77,10.27
0.23934,22.64,9.61
0.24047,22.37,8.94
0.24162,22.37,8.28
0.24277,22.64,8.01
0.24392,23.04,7.75
0.24508,23.43,7.22
0.24625,23.83,6.68
0.24742,23.83,6.15
0.24859,23.43,6.15
0.24978,22.90,6.15
0.25096,22.50,7.08
0.25216,22.50,8.28
0.25336,22.50,9.48
0.25456,22.64,10.67
0.25577,22.64,10.67
0.25699,22.24,10.54
0.25821,21.84,10.27
0.25944,21.44,10.14
0.26067,21.44,8.15
