Frequency (MHz),Peak (dBuV),Average (dBuV)
0.15107,15.00,6.63
0.15179,14.67,6.30
0.15251,14.35,5.89
0.15324,14.11,5.57
0.15396,14.19,5.16
0.15470,14.35,4.76
0.15543,14.43,4.27
0.15617,14.43,3.86
0.15691,14.27,3.78
0.15766,14.19,3.78
0.15841,14.02,3.70
0.15916,13.94,3.62
0.15992,13.46,3.46
0.16068,13.05,3.29
0.16144,12.56,3.05
0.16221,12.40,3.21
0.16298,12.72,3.62
0.16376,13.05,4.02
0.16454,13.37,4.43
0.16532,13.46,4.76
0.16611,13.46,5.16
0.16689,13.46,5.57
0.16769,13.78,5.65
0.16849,14.19,5.73
0.16929,14.59,5.81
0.17009,15.00,5.89
0.17090,15.00,5.89
0.17171,14.84,5.73
0.17253,14.67,5.49
0.17335,14.43,5.33
0.17417,14.27,5.08
0.17500,13.86,4.51
0.17583,13.37,3.94
0.17667,12.97,3.46
0.17751,12.97,3.37
0.17835,13.05,3.37
0.17920,13.05,3.37
0.18005,13.05,3.37
0.18091,13.05,3.37
0.18177,12.97,3.46
0.18264,13.21,3.54
0.18350,13.70,3.62
0.18438,14.19,3.70
0.18525,14.19,3.78
0.18613,14.19,3.86
0.18702,14.19,3.94
0.18791,14.19,4.02
0.18880,14.19,4.43
0.18970,14.35,4.84
0.19060,14.43,5.33
0.19151,14.43,5.33
0.19242,14.11,4.92
0.19333,13.70,4.51
0.19425,13.37,4.11
0.19518,13.37,3.94
0.19610,13.46,3.78
0.19704,13.46,3.62
0.19797,13.37,3.46
0.19891,13.29,3.29
0.19986,13.21,3.21
0.20081,13.21,3.05
0.20177,13.21,2.72
0.20272,13.21,2.32
0.20369,13.13,1.91
0.20466,12.56,1.67
0.20563,11.91,1.42
0.20661,11.67,1.18
0.20759,12.15,1.02
0.20858,12.64,0.93
0.20957,12.80,1.18
0.21057,13.05,1.59
0.21157,13.29,2.07
0.21257,13.29,2.07
0.21358,12.48,2.07
0.21460,11.91,2.07
0.21562,12.24,2.07
0.21664,12.64,2.07
0.21767,12.64,2.07
0.21871,12.24,1.67
0.21975,11.75,1.18
0.22079,11.26,0.69
0.22184,10.77,0.61
0.22290,10.28,0.53
0.22396,10.53,0.45
0.22502,11.34,0.37
0.22609,12.15,0.37
0.22717,12.15,0.37
0.22825,11.59,0.45
0.22933,11.42,0.85
0.23042,11.91,1.26
0.23152,12.40,1.75
0.23262,12.56,1.83
0.23373,12.80,1.91
0.23484,13.05,1.99
0.23595,13.05,2.15
0.23708,12.89,2.32
0.23820,12.64,2.32
0.23934,11.91,1.50
0.24047,11.10,0.61
0.24162,10.61,-0.20
0.24277,10.93,-0.45
0.24392,10.93,-0.53
0.24508,10.69,-0.53
0.24625,10.45,-0.53
0.24742,10.20,-0.37
0.24859,10.04,-0.12
0.24978,9.96,0.12
0.25096,9.80,0.12
0.25216,9.55,0.04
0.25336,9.96,0.45
0.25456,10.69,0.93
0.25577,11.02,0.93
0.25699,11.34,0.77
0.25821,11.67,0.69
0.25944,11.67,0.53
0.26067,10.77,0.04
0.26191,9.96,-0.45
0.26315,9.88,-0.61
0.26441,9.96,-0.77
0.26566,9.96,-0.93
0.26693,8.66,-1.10
0.26820,7.85,-1.34
0.26947,8.50,-1.34
0.27075,8.58,-1.26
0.27204,8.66,-1.02
0.27333,8.90,-1.02
0.27463,9.23,-1.10
0.27594,9.55,-1.10
0.27725,9.55,-1.10
0.27857,9.31,-0.93
0.27989,9.07,-0.69
0.28122,8.58,-0.45
0.28256,8.66,-0.45
0.28390,9.31,-0.61
0.28525,9.31,-0.77
0.28661,8.90,-1.10
0.28797,8.41,-1.50
0.28934,8.17,-1.75
0.29072,8.01,-1.99
0.29210,7.76,-2.24
0.29349,7.20,-2.40
0.29489,6.63,-2.24
0.29629,6.87,-1.91
0.29770,7.44,-1.42
0.29911,7.93,-0.85
0.30053,8.01,-0.85
0.30196,8.17,-1.18
0.30340,8.17,-1.50
0.30484,7.76,-1.91
0.30629,7.76,-2.32
0.30775,8.17,-2.48
0.30921,8.17,-2.48
0.31068,7.76,-2.48
0.31216,7.36,-2.48
0.31364,6.71,-2.64
0.31513,8.41,-2.40
0.31663,10.93,-1.83
0.31814,10.93,-1.83
0.31965,9.47,-1.99
0.32117,7.76,-2.07
0.32270,7.28,-1.91
0.32423,7.93,-1.91
0.32577,8.98,-2.07
0.32732,8.98,-2.24
0.32888,7.76,-2.56
0.33044,7.03,-2.89
0.33201,7.44,-2.97
0.33359,8.01,-3.05
0.33518,8.01,-3.13
0.33677,7.11,-3.29
0.33837,6.54,-3.21
0.33998,7.03,-2.97
0.34160,7.03,-2.89
0.34322,6.63,-2.89
0.34485,6.22,-2.97
0.34649,6.14,-3.13
0.34814,7.36,-3.13
0.34980,7.36,-2.97
0.35146,6.54,-2.72
0.35313,5.89,-2.72
0.35481,6.22,-3.13
0.35650,6.22,-3.62
0.35819,6.14,-3.78
0.35990,6.14,-3.86
0.36161,6.06,-3.86
0.36333,5.98,-3.70
0.36505,6.22,-3.70
0.36679,6.54,-4.02
0.36853,7.20,-3.46
0.37029,7.20,-3.46
0.37205,6.87,-3.54
0.37382,7.44,-3.21
0.37559,8.41,-2.72
0.37738,8.41,-2.72
0.37917,5.57,-3.86
0.38098,5.73,-3.94
0.38279,5.81,-3.70
0.38461,5.89,-3.37
0.38644,5.89,-3.37
0.38827,6.38,-4.19
0.39012,7.44,-4.11
0.39197,7.44,-3.62
0.39384,10.28,2.80
0.39571,15.98,8.50
0.39759,19.55,14.59
0.39948,19.80,18.01
0.40138,20.12,18.66
0.40329,20.12,18.66
0.40521,19.63,17.28
0.40713,19.15,11.83
0.40907,13.05,7.85
0.41102,9.47,0.37
0.41297,6.38,-3.54
0.41493,4.59,-4.43
0.41691,4.19,-4.67
0.41889,3.94,-4.11
0.42088,5.73,-4.11
0.42288,5.73,-4.67
0.42489,4.84,-4.84
0.42691,4.59,-4.76
0.42894,4.59,-4.76
0.43098,4.35,-4.84
0.43303,4.59,-4.92
0.43509,4.59,-4.84
0.43716,4.35,-4.43
0.43924,5.08,-4.43
0.44133,5.08,-4.92
0.44342,3.94,-5.33
0.44553,4.92,-5.33
0.44765,4.92,-5.00
0.44978,3.54,-4.92
0.45192,3.21,-4.92
0.45407,4.19,-4.51
0.45623,4.19,-4.51
0.45840,4.02,-5.41
0.46058,4.19,-5.41
0.46277,4.19,-5.33
0.46497,3.62,-5.24
0.46718,3.86,-5.16
0.46940,4.11,-5.16
0.47163,4.59,-5.16
0.47387,4.67,-5.16
0.47613,4.67,-5.16
0.47839,4.35,-5.16
0.48066,3.94,-5.24
0.48295,5.16,-5.57
0.48525,5.16,-5.65
0.48755,3.05,-5.73
0.48987,3.62,-5.89
0.49220,4.92,-6.06
0.49454,4.92,-5.41
0.49689,4.92,-5.24
0.49925,4.92,-4.92
0.50163,4.76,-4.51
0.50401,4.67,-4.51
0.50641,4.67,-4.76
0.50882,2.97,-4.76
0.51124,2.72,-5.98
0.51367,2.89,-5.73
0.51611,3.21,-5.73
0.51856,3.21,-6.14
0.52103,4.35,-5.89
0.52351,4.84,-5.33
0.52600,4.84,-5.33
0.52850,4.02,-6.14
0.53101,3.37,-5.98
0.53354,2.72,-5.98
0.53607,2.72,-6.30
0.53862,2.64,-6.22
0.54118,2.64,-5.98
0.54376,3.62,-5.98
0.54634,3.62,-6.22
0.54894,2.97,-6.38
0.55155,3.37,-6.38
0.55417,3.37,-6.22
0.55681,5.73,-6.22
0.55945,5.73,-5.65
0.56211,3.78,-5.65
0.56479,2.48,-6.22
0.56747,2.80,-6.06
0.57017,4.67,-6.06
0.57288,4.67,-6.06
0.57560,3.13,-6.06
0.57834,3.13,-6.46
0.58109,2.97,-6.54
0.58385,2.89,-6.54
0.58663,3.70,-6.06
0.58942,3.70,-6.06
0.59222,3.86,-6.14
0.59504,3.86,-6.14
0.59787,2.89,-6.30
0.60071,2.80,-6.30
0.60357,3.54,-6.63
0.60644,3.54,-6.63
0.60932,1.75,-6.63
0.61222,2.97,-6.71
0.61513,2.97,-6.71
0.61805,3.29,-6.79
0.62099,3.29,-7.03
0.62394,3.05,-6.54
0.62691,2.97,-6.54
0.62989,2.72,-6.95
0.63289,3.21,-6.54
0.63590,3.21,-6.54
0.63892,3.29,-7.03
0.64196,3.29,-7.03
0.64501,3.78,-6.79
0.64808,3.78,-6.79
0.65116,2.89,-6.95
0.65425,2.48,-7.03
0.65736,2.48,-7.20
0.66049,2.24,-6.95
0.66363,3.37,-6.95
0.66679,3.37,-7.11
0.66996,2.24,-6.71
0.67314,2.80,-6.71
0.67634,2.80,-6.79
0.67956,2.80,-7.11
0.68279,2.89,-7.11
0.68604,2.80,-7.11
0.68930,2.48,-7.28
0.69258,2.48,-7.28
0.69587,2.15,-7.11
0.69918,2.15,-7.03
0.70250,1.91,-7.11
0.70584,1.91,-7.20
0.70920,2.72,-7.03
0.71257,2.72,-6.87
0.71596,3.86,-6.87
0.71936,3.86,-7.20
0.72278,1.59,-7.60
0.72622,1.34,-7.85
0.72967,2.40,-7.52
0.73314,2.40,-7.52
0.73663,1.75,-7.52
0.74013,2.97,-7.52
0.74365,2.97,-7.68
0.74719,2.56,-6.79
0.75074,2.56,-6.79
0.75431,2.56,-7.44
0.75789,2.56,-7.36
0.76150,1.10,-7.44
0.76512,0.69,-7.36
0.76876,3.21,-7.36
0.77241,3.21,-7.68
0.77609,1.99,-7.36
0.77978,1.99,-7.28
0.78348,1.42,-7.28
0.78721,2.07,-7.85
0.79095,2.07,-7.85
0.79471,5.81,-3.94
0.79849,16.38,2.48
0.80229,18.74,15.08
0.80610,18.74,17.44
0.80993,18.66,4.92
0.81379,16.95,1.02
0.81766,1.42,-7.68
0.82154,1.18,-7.60
0.82545,2.24,-7.60
0.82937,2.24,-7.68
0.83332,1.99,-7.11
0.83728,1.99,-7.11
0.84126,1.26,-8.09
0.84526,1.91,-8.17
0.84928,1.91,-7.85
0.85332,1.50,-7.76
0.85738,2.64,-7.76
0.86145,2.64,-8.01
0.86555,0.85,-7.93
0.86966,1.34,-7.93
0.87380,2.24,-8.01
0.87795,2.80,-7.76
0.88213,2.80,-7.76
0.88632,1.67,-8.09
0.89054,1.59,-8.17
0.89477,1.59,-7.93
0.89903,1.67,-7.93
0.90330,1.75,-7.93
0.90759,1.83,-7.93
0.91191,1.83,-8.09
0.91625,2.32,-8.01
0.92060,2.32,-7.85
0.92498,1.50,-7.85
0.92938,1.83,-8.17
0.93380,2.32,-7.85
0.93824,2.32,-7.85
0.94270,1.10,-8.01
0.94718,2.32,-8.01
0.95168,2.32,-8.01
0.95621,1.26,-8.25
0.96076,1.91,-7.68
0.96532,2.56,-7.68
0.96991,2.56,-8.01
0.97453,1.42,-8.33
0.97916,1.42,-8.66
0.98381,1.42,-8.41
0.98849,1.75,-8.33
0.99319,1.75,-8.25
0.99792,1.91,-8.33
1.00266,1.91,-8.58
1.00743,1.83,-8.17
1.01222,1.83,-8.17
1.01703,1.67,-8.17
1.02187,1.34,-8.17
1.02673,1.34,-8.01
1.03161,1.50,-8.01
1.03651,1.59,-8.25
1.04144,1.59,-8.33
1.04639,1.50,-8.09
1.05137,3.05,-8.09
1.05637,3.05,-8.50
1.06139,2.07,-7.76
1.06644,2.07,-7.76
