Frequency (MHz),Peak (dBuV),Average (dBuV)
0.15107,11.91,11.67
0.15179,12.15,11.91
0.15251,12.40,12.15
0.15324,12.40,2.32
0.15396,12.15,11.83
0.15470,11.83,11.91
0.15543,11.59,11.26
0.15617,11.50,11.59
0.15691,11.83,2.24
0.15766,12.07,12.15
0.15841,12.40,2.15
0.15916,12.40,2.15
0.15992,12.32,2.24
0.16068,12.24,2.24
0.16221,11.99,2.32
0.16298,11.91,2.32
0.16376,11.83,2.40
0.16454,11.75,11.67
0.16532,11.75,11.67
0.16611,11.75,11.83
0.16689,11.83,2.15
0.16769,11.83,11.67
0.16849,11.67,1.99
0.16929,11.50,1.99
0.17009,11.26,11.34
0.17090,11.10,11.18
0.17171,10.77,10.85
0.17253,10.45,1.59
0.17335,10.12,9.72
0.17417,10.04,9.72
0.17583,10.53,1.26
0.17667,10.61,1.34
0.17751,10.69,10.77
0.17835,10.85,1.50
0.17920,10.93,11.02
0.18005,11.91,12.07
0.18091,12.89,11.83
0.18177,13.94,12.80
0.18264,13.94,12.32
0.18350,12.48,12.72
0.18438,10.85,11.10
0.18525,9.31,9.47
0.18613,9.47,0.85
0.18702,9.63,9.72
0.18791,9.88,0.85
0.18880,10.04,0.93
0.18970,10.20,1.02
0.19060,10.37,10.20
0.19151,10.37,1.26
0.19242,10.04,1.26
0.19333,9.55,9.07
0.19425,9.55,9.63
0.19518,10.12,1.02
0.19610,10.61,0.69
0.19704,10.69,10.53
0.19797,10.69,0.53
0.19891,10.77,10.69
0.19986,10.77,0.69
0.20081,10.77,0.69
0.20177,10.61,0.61
0.20272,10.45,0.45
0.20369,10.28,0.37
0.20466,9.80,9.88
0.20563,9.31,9.39
0.20661,8.82,8.74
0.20759,8.82,8.90
0.20858,8.90,-0.12
0.20957,8.98,-0.20
0.21057,8.98,-0.20
0.21157,8.98,-0.20
0.21257,8.98,-0.20
0.21358,8.66,8.25
0.21460,8.33,-0.45
0.21562,8.33,-0.45
0.21664,8.33,-0.45
0.21767,8.33,-0.53
0.21871,8.17,-0.61
0.21975,7.93,8.01
0.22079,8.90,9.07
0.22184,10.04,10.12
0.22290,11.42,-0.28
0.22396,11.42,-0.28
0.22502,10.20,-0.28
0.22609,10.12,10.20
0.22717,9.39,9.47
0.22825,8.90,-0.61
0.22933,8.41,-0.77
0.23042,8.17,-0.93
0.23152,8.01,7.85
0.23262,8.25,8.33
0.23484,9.15,8.66
0.23595,9.15,-1.18
0.23708,8.66,8.74
0.23820,8.41,8.09
0.23934,8.74,-1.34
0.24047,9.07,9.15
0.24162,9.47,-1.10
0.24277,9.88,-0.93
0.24392,9.88,9.31
0.24508,9.39,8.74
0.24625,8.82,8.17
0.24742,8.58,8.17
0.24859,8.98,-1.83
0.24978,9.39,-1.67
0.25096,9.39,8.09
0.25216,8.25,8.41
0.25336,7.11,7.20
0.25456,7.36,-1.67
0.25577,7.44,-1.91
0.25699,7.44,7.52
0.25821,7.52,-2.15
0.25944,7.52,-2.07
0.26067,7.36,7.20
0.26191,7.28,-1.83
0.26441,7.28,7.36
0.26566,7.44,7.28
0.27075,8.17,7.44
0.27204,7.60,6.79
0.27333,6.87,6.95
0.27463,6.71,6.79
0.27594,6.71,6.63
0.27725,7.36,7.44
0.27857,8.09,7.28
0.27989,8.09,7.28
0.28122,7.44,7.52
0.28256,7.68,7.76
0.28390,8.41,7.52
0.28525,8.74,7.93
