Frequency (MHz),Peak (dBuV)
0.15110,59.48
0.15147,59.48
0.15185,59.62
0.15222,59.62
0.15259,59.76
0.15296,59.76
0.15334,59.76
0.15409,54.95
0.15447,54.95
0.15484,54.95
0.15522,54.95
0.15560,54.81
0.15598,54.81
0.15637,54.53
0.15675,54.53
0.15713,54.53
0.15752,54.38
0.15790,53.96
0.15829,53.82
0.15945,53.25
0.15985,53.25
0.16221,52.12
0.16260,52.26
0.16300,52.26
0.16340,52.26
0.16501,52.40
0.16541,52.40
0.16582,52.26
0.16622,51.27
0.16663,50.85
0.16786,49.43
0.16827,49.43
0.16868,48.73
0.17075,48.73
0.17117,48.73
0.17370,48.44
0.17413,48.44
0.17455,48.44
0.17498,48.16
0.17541,48.02
0.17584,48.02
0.17627,47.88
0.17713,47.60
0.17800,47.03
0.17975,46.61
0.18019,46.61
0.18063,46.75
0.18107,46.89
0.18152,47.03
0.18196,47.17
0.18241,47.17
0.18330,47.88
0.18375,47.88
0.18420,48.02
0.18465,47.88
0.18646,49.15
0.18692,49.15
0.18738,49.15
0.19155,51.84
0.19202,51.98
0.19249,52.12
0.19343,52.69
0.19390,52.83
0.19438,52.97
0.19485,52.97
0.19533,52.97
0.19581,52.97
0.19629,52.97
0.19677,52.97
0.19725,52.97
0.19773,52.97
0.19822,52.97
0.19870,52.83
0.19919,52.83
0.19968,52.69
0.20017,52.69
0.20213,52.26
0.20263,52.55
0.20312,52.69
0.20764,54.10
0.20815,54.10
0.20866,54.24
0.20917,54.81
0.20968,54.95
0.21020,54.95
0.21071,54.81
0.21123,54.81
0.21174,54.81
0.21226,54.95
0.21278,54.95
0.21330,54.95
0.21383,54.95
0.21435,54.95
0.21487,54.81
0.21540,54.81
0.21593,54.81
0.21646,54.81
0.21699,54.81
0.21752,54.10
0.21805,53.82
0.21965,51.84
0.22019,51.13
0.22073,51.27
0.22127,51.13
0.22236,49.15
0.22290,49.15
0.22399,48.16
0.22454,48.16
0.22509,48.02
0.22564,48.02
0.22730,49.15
0.22786,49.29
0.22842,49.43
0.22898,49.29
0.22954,49.15
0.23010,49.15
0.23066,49.15
0.23123,49.15
0.23179,49.01
0.23407,47.88
0.23464,47.88
0.23579,47.03
0.23637,47.03
0.23695,46.89
0.23928,46.18
0.23986,46.18
0.24045,46.18
0.24104,46.18
0.24341,47.03
0.24401,47.03
0.24520,48.02
0.24640,49.15
0.24701,49.01
0.24761,49.43
0.24883,50.99
0.25189,52.69
0.25250,52.69
0.25312,52.69
0.25561,52.55
0.25623,52.55
0.25686,52.40
0.26002,50.71
0.26066,50.57
0.26451,49.15
0.26516,49.15
0.26581,49.15
0.26646,49.15
0.26711,49.15
0.26776,49.15
0.26842,49.01
0.26908,48.87
0.26973,48.73
0.27039,48.59
0.27372,48.59
0.27439,48.87
0.27506,49.01
0.27574,49.15
0.27641,49.15
0.27709,49.15
0.27845,51.84
0.27913,51.98
0.27981,52.12
0.28049,52.12
0.28256,52.97
0.28325,52.97
0.28395,52.83
0.28464,52.83
0.28534,52.69
0.28744,51.98
0.28814,51.70
0.28885,51.56
0.28955,51.41
0.29169,49.15
0.29240,49.29
0.29312,49.29
0.29383,49.15
0.29455,48.30
0.29527,48.02
0.29600,48.02
0.29745,47.60
0.29818,47.60
0.29890,47.45
0.29964,47.45
0.30037,25.25
0.30184,47.17
0.30258,47.03
0.30332,46.46
0.30406,46.32
0.30481,46.18
0.30556,45.33
0.30630,45.19
0.30705,45.05
0.30780,45.19
0.30856,45.47
0.30931,45.47
0.31007,45.33
0.31083,44.06
0.31159,44.06
0.31235,43.35
0.31312,43.35
0.31388,43.35
0.31465,42.93
0.31542,42.22
0.31620,42.08
0.31697,41.09
0.31775,41.09
0.31852,41.09
0.31930,41.09
0.32008,40.95
0.32087,40.95
0.32481,40.66
0.32561,40.66
0.32801,40.24
0.32881,40.24
0.32962,39.96
0.33042,39.82
0.33123,39.67
0.33204,38.40
0.33285,38.26
0.33367,38.26
0.33531,38.83
0.33613,38.97
0.33695,39.11
0.33777,39.25
0.33860,39.25
0.33943,39.25
0.34026,39.25
0.34109,39.25
0.34193,39.39
0.34277,39.53
0.34360,39.39
0.34445,40.24
0.34529,40.38
0.34613,40.95
0.34698,42.36
0.34783,44.48
0.34868,44.48
0.35039,45.19
0.35125,45.19
0.35297,46.04
0.35383,46.18
0.35470,46.18
0.35557,46.18
0.35644,46.18
0.35731,46.18
0.35819,46.32
0.35906,46.32
0.35994,46.18
0.36082,45.19
0.36259,44.20
0.36348,44.20
0.36616,43.21
0.36705,43.07
0.37066,42.79
0.37157,42.79
0.37248,42.79
0.37430,41.09
0.37522,41.23
0.37614,41.09
0.37706,40.24
0.37798,40.24
0.37891,39.25
0.37983,38.26
0.38076,37.41
0.38170,37.27
0.38263,36.28
0.38357,36.14
0.39114,35.57
0.39210,35.71
0.39790,36.28
0.39887,36.28
0.39985,36.28
0.40083,35.15
0.40181,34.44
0.40279,34.30
0.40378,34.16
0.40774,34.44
0.41075,36.28
0.41175,38.83
0.41276,38.97
0.41377,39.11
0.41478,40.95
0.41580,40.95
0.41682,42.08
0.41784,43.49
0.41886,43.64
0.41988,43.49
0.42194,46.32
0.42298,46.46
0.42401,46.61
0.42505,46.61
0.42609,46.61
0.43133,46.46
0.43239,46.46
0.43345,46.46
0.43451,47.88
0.43557,48.02
0.43664,48.02
0.43771,46.32
0.43878,40.95
0.43985,40.38
0.44093,40.38
0.44201,40.24
0.44309,40.10
0.44417,39.25
0.44526,39.11
0.44635,38.26
0.44744,37.98
0.44854,37.69
0.44964,37.41
0.45074,37.27
0.45184,36.28
0.45295,36.28
0.45406,36.00
0.45517,35.86
0.45628,35.86
0.46077,36.28
0.46189,36.28
0.46302,36.28
0.46416,36.28
0.46529,36.14
0.46643,35.43
0.46758,34.44
0.46872,34.44
0.46987,34.58
0.47102,34.72
0.47217,34.87
0.47449,35.29
0.47565,35.29
0.47681,35.43
0.47798,35.57
0.47915,35.57
0.48032,35.57
0.48150,38.26
0.48268,40.10
0.48386,41.09
0.48504,41.94
0.48623,43.35
0.48742,43.35
0.48861,45.19
0.48981,48.02
0.49101,51.70
0.49221,51.84
0.49342,51.70
0.49462,51.56
0.49583,51.27
0.49705,51.13
0.49826,51.13
0.49948,51.13
0.50071,51.13
0.50193,51.41
0.50316,51.56
0.50439,51.56
0.50563,51.70
0.50687,51.84
0.50811,51.84
0.50935,51.98
0.51060,41.09
0.51185,41.09
0.51310,40.95
0.51436,39.11
0.51562,37.27
0.51688,34.44
0.51814,34.58
0.51941,34.58
0.52068,34.72
0.52196,34.58
0.52324,34.58
0.52452,34.44
0.52580,34.44
0.52838,35.29
0.52967,35.15
0.53097,35.01
0.53227,34.72
0.53357,33.31
0.53488,33.17
0.53881,33.45
0.54013,33.59
0.54278,35.29
0.54411,36.28
0.54544,37.13
0.54678,37.55
0.54812,37.84
0.54946,38.26
0.55080,38.26
0.55215,39.25
0.55350,40.10
0.55486,40.24
0.55622,40.95
0.55758,43.49
0.55894,45.19
0.56031,45.19
0.56168,47.03
0.56306,47.17
0.56444,48.02
0.56582,48.30
0.56720,48.73
0.56859,48.73
0.57418,48.16
0.57558,48.16
0.57699,48.02
0.57841,47.17
0.57982,44.06
0.58124,42.22
0.58266,42.22
0.58409,42.08
0.58552,41.94
0.58695,41.94
0.58839,41.94
0.58983,40.24
0.59127,40.24
0.59272,39.39
0.59417,39.25
0.59563,37.27
0.59709,37.41
0.59855,37.27
0.60001,36.28
0.60148,36.28
0.60295,36.28
0.60443,36.28
0.60591,36.85
0.60739,36.85
0.60888,36.70
0.61637,37.98
0.61788,37.98
0.61939,39.25
0.62091,39.39
0.62243,39.39
0.62701,39.82
0.63008,43.07
0.63163,43.21
0.63317,44.06
0.63472,44.20
0.63628,44.91
0.63783,44.91
0.63939,44.91
0.64096,44.63
0.64253,44.20
0.64726,42.22
0.64884,42.79
0.65043,42.64
0.65202,41.80
0.65843,41.51
0.66004,41.51
0.66166,41.37
0.66328,40.95
0.66490,39.39
0.66653,39.25
0.66816,38.26
0.66980,38.40
0.67144,38.40
0.67308,40.24
0.67473,40.24
0.67638,40.24
0.68136,40.95
0.68303,41.09
0.68470,41.09
0.68638,41.23
0.68806,41.09
0.68974,42.08
0.69143,43.07
0.69312,43.49
0.69482,43.64
0.69652,43.78
0.69822,43.49
0.69993,43.92
0.70337,51.41
0.70509,45.19
0.70681,45.19
0.70854,45.19
0.71028,45.19
0.71202,45.19
0.71376,45.19
0.71551,45.19
0.71726,45.19
0.71901,44.77
0.72077,44.63
0.72254,41.37
0.72431,41.23
0.72608,41.23
0.72786,41.23
0.72964,41.37
0.73143,41.51
0.73322,40.38
0.73501,38.26
0.73681,37.13
0.73861,37.13
0.74042,35.15
0.74224,35.01
0.74405,34.87
0.75320,33.88
0.75505,34.02
0.75690,36.14
0.75875,36.28
0.76061,37.13
0.76247,37.27
0.76433,37.27
0.76621,37.41
0.76808,38.12
0.76996,39.25
0.77185,39.39
0.77374,40.95
0.77563,40.95
0.77753,41.09
0.77943,41.09
0.78134,41.09
0.78325,41.09
0.78709,40.10
0.78902,40.10
0.79095,39.25
0.79289,39.25
0.79483,39.25
0.79677,39.11
0.79872,38.40
0.80068,37.27
0.80264,37.27
0.80460,36.42
0.80657,36.42
0.80855,36.00
0.81053,34.30
0.81251,34.16
0.81450,33.31
0.81650,33.17
0.81849,33.17
0.82050,33.45
0.82251,34.02
0.82452,34.02
0.82856,34.44
0.83059,36.28
0.83262,36.28
0.84286,40.10
0.84493,40.95
0.84700,41.09
0.84907,41.65
0.85115,41.94
0.85323,42.22
0.85532,42.22
0.85741,42.22
0.85951,42.08
0.86162,41.09
0.86373,38.26
0.86584,38.26
0.86796,38.26
0.87009,37.27
0.87222,36.28
0.87435,35.43
0.87649,35.29
0.87864,34.44
0.88079,34.30
0.88294,33.73
0.88510,33.31
0.88727,33.31
0.88944,33.17
0.89162,33.31
0.89380,35.57
0.89599,35.86
0.89819,36.00
0.90038,37.27
0.90259,37.27
0.90480,37.98
0.90701,38.40
0.90923,38.54
0.91146,38.40
0.91369,43.21
0.91593,45.05
0.91817,45.19
0.92042,45.19
0.93174,45.05
0.93402,45.19
0.93630,44.20
0.93860,44.06
0.94089,41.51
0.94320,41.51
0.94551,36.28
0.94782,35.29
0.95014,34.44
0.95247,34.30
0.95480,31.75
0.95714,31.75
0.95948,31.61
0.96183,31.47
0.96418,31.33
0.96654,31.33
0.96891,31.47
0.97128,31.47
0.97366,31.47
0.97604,34.44
0.97843,36.28
0.98083,39.11
0.98323,39.25
0.98564,42.22
0.98805,47.88
0.99047,48.16
0.99289,48.16
1.00020,48.16
1.00265,48.02
1.00510,47.31
